imagesource,ratiodec,imagesqin,ui,uicost
San Diego,0.12,133,42,0.739
San Diego,0.12,213,52,0.776
San Diego,0.12,306,61,0.904
San Diego,0.12,417,71,0.977
San Diego,0.12,,,0.977
San Diego,0.14,192,42,0.739
San Diego,0.14,300,52,0.776
San Diego,0.14,540,68,0.904
San Diego,0.14,,,0.977
San Diego,0.16,222,47,0.739
San Diego,0.16,345,58,0.776
San Diego,0.16,473,67,0.904
San Diego,0.16,,,0.977
San Diego,0.17,784,46,0.776
San Diego,0.17,784,53,0.739
San Diego,0.17,784,60,0.812
San Diego,0.17,784,67,0.904
San Diego,0.17,,,0.977
San Diego,0.18,784,42,0.776
San Diego,0.18,300,52,0.739
San Diego,0.18,432,61,0.812
San Diego,0.18,507,66,0.904
San Diego,0.18,,,0.977
San Diego,0.2,180,40,0.776
San Diego,0.2,245,46,0.739
San Diego,0.2,320,52,0.812
San Diego,0.2,500,64,0.904
San Diego,0.2,,,0.977
San Diego,0.22,224,43,0.776
San Diego,0.22,350,53,0.739
San Diego,0.22,504,63,0.812
San Diego,0.22,610,69,0.904
San Diego,0.22,,,0.977
San Diego,0.24,264,45,0.776
San Diego,0.24,415,56,0.739
San Diego,0.24,506,61,0.812
San Diego,0.24,650,69,0.904
San Diego,0.24,,,0.977
San Diego,0.25,256,44,0.776
San Diego,0.25,400,54,0.739
San Diego,0.25,576,64,0.812
San Diego,0.25,784,74,0.904
San Diego,0.25,,,0.977
San Diego,0.27,240,42,0.776
San Diego,0.27,375,52,0.739
San Diego,0.27,540,61,0.812
San Diego,0.27,840,75,0.904
San Diego,0.27,,,0.977
San Diego,0.28,255,43,0.776
San Diego,0.28,429,54,0.739
San Diego,0.28,574,62,0.812
San Diego,0.28,767,71,0.904
San Diego,0.28,,,0.977
San Diego,0.29,123,31,0.776
San Diego,0.29,218,40,0.739
San Diego,0.29,492,57,0.812
San Diego,0.29,872,75,0.904
San Diego,0.29,,,0.977
San Diego,0.3,143,33,0.776
San Diego,0.3,304,46,0.739
San Diego,0.3,684,67,0.812
San Diego,0.3,864,74,0.904
San Diego,0.3,,,0.977
San Diego,0.31,320,46,0.776
San Diego,0.31,500,57,0.739
San Diego,0.31,720,67,0.812
San Diego,0.31,845,73,0.904
San Diego,0.31,,,0.977
San Diego,0.32,310,45,0.776
San Diego,0.32,520,57,0.739
San Diego,0.32,744,68,0.812
San Diego,0.32,901,74,0.904
San Diego,0.32,,,0.977
San Diego,0.33,300,44,0.776
San Diego,0.33,432,52,0.739
San Diego,0.33,768,68,0.812
San Diego,0.33,1200,76,0.904
San Diego,0.33,,,0.977
San Diego,0.34,352,47,0.776
San Diego,0.34,550,58,0.739
San Diego,0.34,792,69,0.812
San Diego,0.34,1078,80,0.904
San Diego,0.34,,,0.977
San Diego,0.35,184,35,0.776
San Diego,0.35,414,51,0.739
San Diego,0.35,736,66,0.812
San Diego,0.35,936,74,0.904
San Diego,0.35,,,0.977
San Diego,0.36,280,42,0.776
San Diego,0.36,402,50,0.739
San Diego,0.36,630,61,0.812
San Diego,0.36,962,75,0.904
San Diego,0.36,,,0.977
San Diego,0.37,330,45,0.776
San Diego,0.37,532,56,0.739
San Diego,0.37,743,66,0.812
San Diego,0.37,988,75,0.904
San Diego,0.37,,,0.977
San Diego,0.38,384,48,0.776
San Diego,0.38,600,59,0.739
San Diego,0.38,864,70,0.812
San Diego,0.38,1014,76,0.904
San Diego,0.38,,,0.977
San Diego,0.39,284,42,0.776
San Diego,0.39,620,60,0.739
San Diego,0.39,788,67,0.812
San Diego,0.39,1134,79,0.904
San Diego,0.39,,,0.977
San Diego,0.4,308,43,0.776
San Diego,0.4,652,61,0.739
San Diego,0.4,1020,75,0.812
San Diego,0.4,1148,80,0.904
San Diego,0.4,,,0.977
San Diego,0.41,156,32,0.776
San Diego,0.41,351,46,0.776
San Diego,0.41,624,59,0.739
San Diego,0.41,905,71,0.812
San Diego,0.41,1071,76,0.904
San Diego,0.41,,,0.977
San Diego,0.42,116,28,0.776
San Diego,0.42,462,51,0.776
San Diego,0.42,680,61,0.739
San Diego,0.42,940,71,0.812
San Diego,0.42,1242,81,0.904
San Diego,0.42,,,0.977
San Diego,0.43,336,44,0.776
San Diego,0.43,525,54,0.776
San Diego,0.43,756,64,0.739
San Diego,0.43,1029,74,0.812
San Diego,0.43,1157,79,0.904
San Diego,0.43,,,0.977
San Diego,0.44,324,43,0.776
San Diego,0.44,576,56,0.776
San Diego,0.44,900,69,0.739
San Diego,0.44,1296,82,0.904
San Diego,0.44,,,0.977
San Diego,0.45,180,33,0.776
San Diego,0.45,434,49,0.776
San Diego,0.45,720,62,0.739
San Diego,0.45,911,70,0.812
San Diego,0.45,1215,81,0.904
San Diego,0.45,,,0.977
San Diego,0.46,213,36,0.776
San Diego,0.46,544,54,0.776
San Diego,0.46,702,61,0.739
San Diego,0.46,1029,73,0.812
San Diego,0.46,1274,81,0.904
San Diego,0.46,,,0.977
San Diego,0.47,153,31,0.776
San Diego,0.47,476,51,0.776
San Diego,0.47,684,60,0.739
San Diego,0.47,956,71,0.812
San Diego,0.47,1377,84,0.904
San Diego,0.47,,,0.977
San Diego,0.48,190,34,0.776
San Diego,0.48,488,52,0.776
San Diego,0.48,760,63,0.739
San Diego,0.48,1001,72,0.812
San Diego,0.48,1287,81,0.904
San Diego,0.48,,,0.977
San Diego,0.49,205,35,0.776
San Diego,0.49,458,50,0.776
San Diego,0.49,741,62,0.739
San Diego,0.49,1128,76,0.812
San Diego,0.49,1418,85,0.904
San Diego,0.49,,,0.977
San Diego,0.5,288,40,0.776
San Diego,0.5,512,52,0.776
San Diego,0.5,648,58,0.739
San Diego,0.5,800,64,0.812
San Diego,0.5,1152,76,0.825
San Diego,0.5,1152,85,0.891
San Diego,0.5,,,0.977
San Diego,0.51,160,31,0.776
San Diego,0.51,570,55,0.776
San Diego,0.51,1116,75,0.848
San Diego,0.51,1438,85,0.904
San Diego,0.51,1146,73,0.812
San Diego,0.51,,,0.977
San Diego,0.52,226,36,0.776
San Diego,0.52,603,56,0.776
San Diego,0.52,860,66,0.812
San Diego,0.52,1236,78,0.848
San Diego,0.52,1680,90,0.977
San Diego,0.52,,,0.977
San Diego,0.54,223,36,0.776
San Diego,0.54,629,57,0.776
San Diego,0.54,870,66,0.812
San Diego,0.54,1199,77,0.848
San Diego,0.54,1708,91,0.977
San Diego,0.54,,,0.977
San Diego,0.55,180,32,0.776
San Diego,0.55,585,55,0.776
San Diego,0.55,798,63,0.812
San Diego,0.55,1222,77,0.848
San Diego,0.55,1736,91,0.977
San Diego,0.55,,,0.977
San Diego,0.56,180,32,0.776
San Diego,0.56,568,54,0.776
San Diego,0.56,798,63,0.812
San Diego,0.56,1173,76,0.848
San Diego,0.56,1736,91,0.977
San Diego,0.56,,,0.977
San Diego,0.57,336,42,0.776
San Diego,0.57,756,61,0.812
San Diego,0.57,1344,80,0.848
San Diego,0.57,1701,90,0.977
San Diego,0.57,,,0.977
San Diego,0.58,189,33,0.776
San Diego,0.58,635,57,0.776
San Diego,0.58,887,66,0.812
San Diego,0.58,1344,80,0.848
San Diego,0.58,1701,90,0.977
San Diego,0.58,,,0.977
San Diego,0.59,204,34,0.776
San Diego,0.59,608,55,0.776
San Diego,0.59,814,63,0.812
San Diego,0.59,1316,79,0.848
San Diego,0.59,1612,87,0.977
San Diego,0.59,,,0.977
San Diego,0.6,240,36,0.776
San Diego,0.6,540,52,0.776
San Diego,0.6,960,68,0.812
San Diego,0.6,1215,76,0.848
San Diego,0.6,1500,84,0.977
San Diego,0.6,,,0.977
San Diego,0.61,198,33,0.776
San Diego,0.61,660,57,0.776
San Diego,0.61,833,64,0.812
San Diego,0.61,1288,78,0.848
San Diego,0.61,1782,91,0.977
San Diego,0.61,,,0.977
San Diego,0.63,228,35,0.776
San Diego,0.63,459,48,0.776
San Diego,0.63,819,63,0.812
San Diego,0.63,1113,73,0.848
San Diego,0.63,1836,92,0.977
San Diego,0.63,,,0.977
San Diego,0.64,308,40,0.776
San Diego,0.64,693,58,0.776
San Diego,0.64,1020,70,0.812
San Diego,0.64,1410,81,0.848
San Diego,0.64,1716,89,0.977
San Diego,0.64,,,0.977
San Diego,0.65,187,32,0.776
San Diego,0.65,748,60,0.776
San Diego,0.65,985,69,0.812
San Diego,0.65,1488,83,0.848
San Diego,0.65,1890,93,0.977
San Diego,0.65,,,0.977
San Diego,0.66,187,32,0.776
San Diego,0.66,620,55,0.776
San Diego,0.66,931,67,0.812
San Diego,0.66,1488,83,0.848
San Diego,0.66,1899,94,0.977
San Diego,0.66,,,0.977
San Diego,0.67,150,29,0.776
San Diego,0.67,294,39,0.776
San Diego,0.67,600,54,0.812
San Diego,0.67,864,64,0.848
San Diego,0.67,1944,84,0.904
San Diego,0.67,1944,94,0.977
San Diego,0.67,,,0.977
San Diego,0.68,196,33,0.776
San Diego,0.68,715,59,0.776
San Diego,0.68,1080,71,0.812
San Diego,0.68,1426,81,0.848
San Diego,0.68,1701,90,0.977
San Diego,0.68,,,0.977
San Diego,0.69,326,41,0.776
San Diego,0.69,704,58,0.776
San Diego,0.69,1053,70,0.812
San Diego,0.69,1584,85,0.848
San Diego,0.69,1935,94,0.977
San Diego,0.69,,,0.977
San Diego,0.7,315,40,0.776
San Diego,0.7,560,52,0.776
San Diego,0.7,1026,69,0.812
San Diego,0.7,1526,84,0.848
San Diego,0.7,1924,93,0.977
San Diego,0.7,,,0.977
San Diego,0.71,140,28,0.776
San Diego,0.71,560,52,0.776
San Diego,0.71,875,64,0.812
San Diego,0.71,1260,76,0.848
San Diego,0.71,1715,88,0.904
San Diego,0.71,,,0.977
San Diego,0.72,234,35,0.776
San Diego,0.72,527,51,0.776
San Diego,0.72,833,63,0.812
San Diego,0.72,1463,82,0.848
San Diego,0.72,2106,97,0.978
San Diego,,,,0.977
San Diego,0.73,266,37,0.776
San Diego,0.73,660,56,0.776
San Diego,0.73,1064,70,0.812
San Diego,0.73,1663,87,0.848
San Diego,0.73,2067,96,0.977
San Diego,0.73,,,0.977
San Diego,0.74,304,40,0.776
San Diego,0.74,713,58,0.776
San Diego,0.74,1131,72,0.812
San Diego,0.74,1564,84,0.904
San Diego,0.74,2160,98,0.977
San Diego,0.74,,,0.977
San Diego,0.75,192,32,0.776
San Diego,0.75,432,46,0.776
San Diego,0.75,768,60,0.848
San Diego,0.75,1200,74,0.904
San Diego,0.75,1200,99,0.977
San Diego,0.75,,,0.977
San Diego,0.76,336,41,0.776
San Diego,0.76,884,64,0.776
San Diego,0.76,1102,71,0.812
San Diego,0.76,1692,87,0.904
San Diego,0.76,2100,97,0.977
San Diego,0.76,,,0.977
San Diego,0.77,293,39,0.776
San Diego,0.77,813,62,0.776
San Diego,0.77,1170,73,0.812
San Diego,0.77,1593,85,0.904
San Diego,0.77,2241,100,0.977
San Diego,0.77,,,0.977
San Diego,0.78,370,43,0.776
San Diego,0.78,800,61,0.776
San Diego,0.78,1190,74,0.812
San Diego,0.78,1656,86,0.904
San Diego,0.78,2282,101,0.977
San Diego,0.78,,,0.977
San Diego,0.79,154,29,0.776
San Diego,0.79,616,54,0.812
San Diego,0.79,1386,79,0.848
San Diego,0.79,,,0.977
San Diego,0.8,320,40,0.776
San Diego,0.8,720,58,0.812
San Diego,0.8,1280,76,0.848
San Diego,0.8,1620,85,0.904
San Diego,0.8,1620,94,0.977
San Diego,0.8,,,0.977
San Diego,0.81,325,41,0.776
San Diego,0.81,832,62,0.776
San Diego,0.81,1300,77,0.812
San Diego,0.81,1872,91,0.904
San Diego,0.81,2279,100,0.977
San Diego,0.81,,,0.977
San Diego,0.82,330,41,0.776
San Diego,0.82,848,63,0.776
San Diego,0.82,1320,77,0.812
San Diego,0.82,1748,88,0.904
San Diego,0.82,2403,103,0.977
San Diego,0.82,,,0.977
San Diego,0.83,270,37,0.776
San Diego,0.83,480,48,0.776
San Diego,0.83,1080,70,0.812
San Diego,0.83,1470,81,0.848
San Diego,0.83,1920,92,0.977
San Diego,0.83,,,0.977
San Diego,0.84,304,39,0.776
San Diego,0.84,525,50,0.776
San Diego,0.84,1216,74,0.812
San Diego,0.84,1628,85,0.904
San Diego,0.84,2193,98,0.977
San Diego,0.84,,,0.977
San Diego,0.85,383,44,0.776
San Diego,0.85,924,65,0.776
San Diego,0.85,1639,86,0.812
San Diego,0.85,2206,99,0.904
San Diego,0.85,,,0.977
San Diego,0.86,296,39,0.776
San Diego,0.86,495,49,0.776
San Diego,0.86,1184,73,0.812
San Diego,0.86,1672,86,0.904
San Diego,0.86,2340,101,0.977
San Diego,0.86,,,0.977
San Diego,0.88,255,36,0.776
San Diego,0.88,550,51,0.776
San Diego,0.88,1238,75,0.812
San Diego,0.88,1554,83,0.904
San Diego,0.88,2379,102,0.977
San Diego,0.88,3497,,0.977
San Diego,0.91,248,36,0.776
San Diego,0.91,440,46,0.776
San Diego,0.91,990,67,0.812
San Diego,0.91,1311,77,0.904
San Diego,0.91,1760,88,0.977
San Diego,0.91,,,0.977
San Diego,1,144,28,0.776
San Diego,1,256,36,0.776
San Diego,1,400,44,0.812
San Diego,1,900,64,0.848
San Diego,1,1296,76,0.904
San Diego,1,1296,84,0.977
San Diego,1,,,0.977
Italy,0.12,133,42,0.739
Italy,0.12,213,52,0.776
Italy,0.12,306,61,0.904
Italy,0.12,417,71,0.977
Italy,0.12,,,0.977
Italy,0.14,192,42,0.739
Italy,0.14,300,52,0.776
Italy,0.14,540,68,0.904
Italy,0.14,,,0.977
Italy,0.16,222,47,0.739
Italy,0.16,345,58,0.776
Italy,0.16,473,67,0.904
Italy,0.16,,,0.977
Italy,0.17,784,46,0.776
Italy,0.17,784,53,0.739
Italy,0.17,784,60,0.812
Italy,0.17,784,67,0.904
Italy,0.17,,,0.977
Italy,0.18,784,42,0.776
Italy,0.18,300,52,0.739
Italy,0.18,432,61,0.812
Italy,0.18,507,66,0.904
Italy,0.18,,,0.977
Italy,0.2,180,40,0.776
Italy,0.2,245,46,0.739
Italy,0.2,320,52,0.812
Italy,0.2,500,64,0.904
Italy,0.2,,,0.977
Italy,0.22,224,43,0.776
Italy,0.22,350,53,0.739
Italy,0.22,504,63,0.812
Italy,0.22,610,69,0.904
Italy,0.22,,,0.977
Italy,0.24,264,45,0.776
Italy,0.24,415,56,0.739
Italy,0.24,506,61,0.812
Italy,0.24,650,69,0.904
Italy,0.24,,,0.977
Italy,0.25,256,44,0.776
Italy,0.25,400,54,0.739
Italy,0.25,576,64,0.812
Italy,0.25,784,74,0.904
Italy,0.25,,,0.977
Italy,0.27,240,42,0.776
Italy,0.27,375,52,0.739
Italy,0.27,540,61,0.812
Italy,0.27,840,75,0.904
Italy,0.27,,,0.977
Italy,0.28,255,43,0.776
Italy,0.28,429,54,0.739
Italy,0.28,574,62,0.812
Italy,0.28,767,71,0.904
Italy,0.28,,,0.977
Italy,0.29,123,31,0.776
Italy,0.29,218,40,0.739
Italy,0.29,492,57,0.812
Italy,0.29,872,75,0.904
Italy,0.29,,,0.977
Italy,0.3,143,33,0.776
Italy,0.3,304,46,0.739
Italy,0.3,684,67,0.812
Italy,0.3,864,74,0.904
Italy,0.3,,,0.977
Italy,0.31,320,46,0.776
Italy,0.31,500,57,0.739
Italy,0.31,720,67,0.812
Italy,0.31,845,73,0.904
Italy,0.31,,,0.977
Italy,0.32,310,45,0.776
Italy,0.32,520,57,0.739
Italy,0.32,744,68,0.812
Italy,0.32,901,74,0.904
Italy,0.32,,,0.977
Italy,0.33,300,44,0.776
Italy,0.33,432,52,0.739
Italy,0.33,768,68,0.812
Italy,0.33,1200,76,0.904
Italy,0.33,,,0.977
Italy,0.34,352,47,0.776
Italy,0.34,550,58,0.739
Italy,0.34,792,69,0.812
Italy,0.34,1078,80,0.904
Italy,0.34,,,0.977
Italy,0.35,184,35,0.776
Italy,0.35,414,51,0.739
Italy,0.35,736,66,0.812
Italy,0.35,936,74,0.904
Italy,0.35,,,0.977
Italy,0.36,280,42,0.776
Italy,0.36,402,50,0.739
Italy,0.36,630,61,0.812
Italy,0.36,962,75,0.904
Italy,0.36,,,0.977
Italy,0.37,330,45,0.776
Italy,0.37,532,56,0.739
Italy,0.37,743,66,0.812
Italy,0.37,988,75,0.904
Italy,0.37,,,0.977
Italy,0.38,384,48,0.776
Italy,0.38,600,59,0.739
Italy,0.38,864,70,0.812
Italy,0.38,1014,76,0.904
Italy,0.38,,,0.977
Italy,0.39,284,42,0.776
Italy,0.39,620,60,0.739
Italy,0.39,788,67,0.812
Italy,0.39,1134,79,0.904
Italy,0.39,,,0.977
Italy,0.4,308,43,0.776
Italy,0.4,652,61,0.739
Italy,0.4,1020,75,0.812
Italy,0.4,1148,80,0.904
Italy,0.4,,,0.977
Italy,0.41,156,32,0.776
Italy,0.41,351,46,0.776
Italy,0.41,624,59,0.739
Italy,0.41,905,71,0.812
Italy,0.41,1071,76,0.904
Italy,0.41,,,0.977
Italy,0.42,116,28,0.776
Italy,0.42,462,51,0.776
Italy,0.42,680,61,0.739
Italy,0.42,940,71,0.812
Italy,0.42,1242,81,0.904
Italy,0.42,,,0.977
Italy,0.43,336,44,0.776
Italy,0.43,525,54,0.776
Italy,0.43,756,64,0.739
Italy,0.43,1029,74,0.812
Italy,0.43,1157,79,0.904
Italy,0.43,,,0.977
Italy,0.44,324,43,0.776
Italy,0.44,576,56,0.776
Italy,0.44,900,69,0.739
Italy,0.44,1296,82,0.904
Italy,0.44,,,0.977
Italy,0.45,180,33,0.776
Italy,0.45,434,49,0.776
Italy,0.45,720,62,0.739
Italy,0.45,911,70,0.812
Italy,0.45,1215,81,0.904
Italy,0.45,,,0.977
Italy,0.46,213,36,0.776
Italy,0.46,544,54,0.776
Italy,0.46,702,61,0.739
Italy,0.46,1029,73,0.812
Italy,0.46,1274,81,0.904
Italy,0.46,,,0.977
Italy,0.47,153,31,0.776
Italy,0.47,476,51,0.776
Italy,0.47,684,60,0.739
Italy,0.47,956,71,0.812
Italy,0.47,1377,84,0.904
Italy,0.47,,,0.977
Italy,0.48,190,34,0.776
Italy,0.48,488,52,0.776
Italy,0.48,760,63,0.739
Italy,0.48,1001,72,0.812
Italy,0.48,1287,81,0.904
Italy,0.48,,,0.977
Italy,0.49,205,35,0.776
Italy,0.49,458,50,0.776
Italy,0.49,741,62,0.739
Italy,0.49,1128,76,0.812
Italy,0.49,1418,85,0.904
Italy,0.49,,,0.977
Italy,0.5,288,40,0.776
Italy,0.5,512,52,0.776
Italy,0.5,648,58,0.739
Italy,0.5,800,64,0.812
Italy,0.5,1152,76,0.825
Italy,0.5,1152,85,0.891
Italy,0.5,,,0.977
Italy,0.51,160,31,0.776
Italy,0.51,570,55,0.776
Italy,0.51,1116,75,0.848
Italy,0.51,1438,85,0.904
Italy,0.51,1146,73,0.812
Italy,0.51,,,0.977
Italy,0.52,226,36,0.776
Italy,0.52,603,56,0.776
Italy,0.52,860,66,0.812
Italy,0.52,1236,78,0.848
Italy,0.52,1680,90,0.977
Italy,0.52,,,0.977
Italy,0.54,223,36,0.776
Italy,0.54,629,57,0.776
Italy,0.54,870,66,0.812
Italy,0.54,1199,77,0.848
Italy,0.54,1708,91,0.977
Italy,0.54,,,0.977
Italy,0.55,180,32,0.776
Italy,0.55,585,55,0.776
Italy,0.55,798,63,0.812
Italy,0.55,1222,77,0.848
Italy,0.55,1736,91,0.977
