imagesource,ratiodec,imagesqin,ui,rolledpapertaruicost
Italy,0.56,180,28,0.446
Italy,0.56,568,50,0.446
Italy,0.56,798,59,0.446
Italy,0.56,1173,72,0.446
Italy,0.56,1736,87,0.512
Italy,0.56,,,0.528
Italy,0.57,189,29,0.446
Italy,0.57,525,48,0.446
Italy,0.57,756,57,0.446
Italy,0.57,1344,76,0.479
Italy,0.57,1701,86,0.512
Italy,0.57,,,0.528
Italy,0.58,189,29,0.446
Italy,0.58,635,52,0.446
Italy,0.58,887,62,0.446
Italy,0.58,1344,76,0.446
Italy,0.58,1895,90,0.513
Italy,0.58,,,0.528
Italy,0.59,204,30,0.446
Italy,0.59,608,51,0.446
Italy,0.59,814,59,0.446
Italy,0.59,1316,75,0.446
Italy,0.59,2001,93,0.512
Italy,0.59,,,0.528
Italy,0.6,240,32,0.446
Italy,0.6,540,48,0.446
Italy,0.6,960,64,0.446
Italy,0.6,1215,72,0.446
Italy,0.6,1815,88,0.512
Italy,0.6,,,0.528
Italy,0.61,198,29,0.446
Italy,0.61,660,53,0.446
Italy,0.61,833,60,0.446
Italy,0.61,1288,93,0.446
Italy,0.61,2013,119,0.512
Italy,0.61,,,0.528
Italy,0.63,228,31,0.446
Italy,0.63,698,55,0.446
Italy,0.63,912,62,0.446
Italy,0.63,1455,79,0.446
Italy,0.63,2052,93,0.512
Italy,0.63,,,0.528
Italy,0.64,308,36,0.446
Italy,0.64,693,54,0.446
Italy,0.64,1020,66,0.446
Italy,0.64,1410,77,0.446
Italy,0.64,1925,90,0.512
Italy,0.64,,,0.528
Italy,0.65,187,28,0.446
Italy,0.65,1008,69,0.446
Italy,0.65,748,56,0.446
Italy,0.65,985,64,0.446
Italy,0.65,2175,96,0.512
Italy,0.65,,,0.528
Italy,0.66,187,28,0.446
Italy,0.66,620,51,0.446
Italy,0.66,931,63,0.446
Italy,0.66,1488,79,0.446
Italy,0.66,1899,89,0.512
Italy,0.66,,,0.528
Italy,0.67,294,35,0.446
Italy,0.67,600,50,0.446
Italy,0.67,864,60,0.446
Italy,0.67,1536,80,0.446
Italy,0.67,1944,90,0.512
Italy,0.67,,,0.528
Italy,0.68,196,29,0.446
Italy,0.68,715,55,0.446
Italy,0.68,1080,67,0.446
Italy,0.68,1426,77,0.495
Italy,0.68,2195,96,0.528
Italy,0.68,,,0.528
Italy,0.69,326,37,0.446
Italy,0.69,704,54,0.446
Italy,0.69,1053,66,0.446
Italy,0.69,1584,81,0.495
Italy,0.69,2320,98,0.528
Italy,0.69,,,0.528
Italy,0.7,315,36,0.446
Italy,0.7,560,48,0.446
Italy,0.7,1026,65,0.446
Italy,0.7,1526,79,0.495
Italy,0.7,2240,96,0.528
Italy,0.7,,,0.528
Italy,0.71,140,24,0.446
Italy,0.71,560,48,0.446
Italy,0.71,875,60,0.446
Italy,0.71,1260,72,0.495
Italy,0.71,2240,96,0.528
Italy,0.71,,,0.528
Italy,0.72,234,31,0.446
Italy,0.72,527,47,0.446
Italy,0.72,833,59,0.446
Italy,0.72,1463,78,0.495
Italy,0.72,2106,93,0.528
Italy,,,,0.528
Italy,0.73,266,33,0.446
Italy,0.73,660,52,0.446
Italy,0.73,1064,66,0.446
Italy,0.73,1663,83,0.495
Italy,0.73,2394,99,0.528
Italy,0.73,,,0.528
Italy,0.74,304,35,0.446
Italy,0.74,713,54,0.446
Italy,0.74,1131,68,0.446
Italy,0.74,1564,80,0.495
Italy,0.74,2494,101,0.528
Italy,0.74,,,0.528
Italy,0.75,192,28,0.446
Italy,0.75,768,56,0.446
Italy,0.75,1200,70,0.446
Italy,0.75,1728,84,0.495
Italy,0.75,2352,98,0.528
Italy,0.75,,,0.528
Italy,0.76,336,37,0.446
Italy,0.76,884,60,0.446
Italy,0.76,1102,67,0.446
Italy,0.76,1692,83,0.495
Italy,0.76,2310,97,0.528
Italy,0.76,,,0.528
Italy,0.77,293,35,0.446
Italy,0.77,813,58,0.446
Italy,0.77,1170,69,0.446
Italy,0.77,1593,81,0.495
Italy,0.77,2241,96,0.528
Italy,0.77,,,0.528
Italy,0.78,370,39,0.446
Italy,0.78,800,57,0.446
Italy,0.78,1190,70,0.446
Italy,0.78,1656,82,0.495
Italy,0.78,2365,98,0.528
Italy,0.78,,,0.528
Italy,0.79,154,25,0.446
Italy,0.79,616,50,0.446
Italy,0.79,1225,71,0.446
Italy,0.79,1739,84,0.495
Italy,0.79,2464,100,0.528
Italy,0.79,,,0.528
Italy,0.8,320,36,0.446
Italy,0.8,320,54,0.446
Italy,0.8,720,72,0.446
Italy,0.8,1280,81,0.495
Italy,0.8,1620,99,0.528
Italy,0.8,,,0.528
Italy,0.81,325,36,0.446
Italy,0.81,832,58,0.446
Italy,0.81,1300,73,0.446
Italy,0.81,1872,87,0.495
Italy,0.81,2548,102,0.528
Italy,0.81,,,0.528
Italy,0.82,330,37,0.446
Italy,0.82,848,59,0.446
Italy,0.82,1320,73,0.446
Italy,0.82,1748,84,0.495
Italy,0.82,2590,102,0.528
Italy,0.82,,,0.528
Italy,0.83,270,33,0.446
Italy,0.83,750,55,0.446
Italy,0.83,1080,66,0.446
Italy,0.83,1920,88,0.495
Italy,0.83,2430,99,0.528
Italy,0.83,,,0.528
Italy,0.84,304,35,0.446
Italy,0.84,525,46,0.446
Italy,0.84,1216,70,0.446
Italy,0.84,1628,81,0.495
Italy,0.84,2193,94,0.528
Italy,0.84,,,0.528
Italy,0.85,383,39,0.446
Italy,0.85,924,61,0.446
Italy,0.85,1639,81,0.495
Italy,0.85,2206,94,0.528
Italy,0.85,,,0.528
Italy,0.86,296,35,0.446
Italy,0.86,495,45,0.446
Italy,0.86,1184,69,0.446
Italy,0.86,1672,82,0.495
Italy,0.86,2340,97,0.528
Italy,0.86,,,0.528
Italy,0.88,255,32,0.446
Italy,0.88,550,47,0.446
Italy,0.88,1238,71,0.446
Italy,0.88,1554,79,0.495
Italy,0.88,2379,98,0.528
Italy,0.88,3497,119,0.528
Italy,0.91,248,32,0.446
Italy,0.91,440,42,0.446
Italy,0.91,990,63,0.446
Italy,0.91,1311,73,0.495
Italy,0.91,1760,84,0.528
Italy,0.91,,,0.528
Italy,1,144,24,0.446
Italy,1,256,32,0.446
Italy,1,400,40,0.446
Italy,1,900,60,0.446
Italy,1,1296,72,0.495
Italy,1,1296,80,0.528
Italy,1,,,0.528
Old World,0.12,133,38,0.045
Old World,0.12,213,48,0.045
Old World,0.12,306,57,0.045
Old World,0.12,417,67,0.045
Old World,0.12,,,0.045
Old World,0.14,192,38,0.045
Old World,0.14,300,48,0.045
Old World,0.14,540,64,0.045
Old World,0.14,,,0.045
Old World,0.16,222,43,0.045
Old World,0.16,345,54,0.045
Old World,0.16,473,63,0.045
Old World,0.16,,,0.045
Old World,0.17,216,42,0.045
Old World,0.17,294,49,0.045
Old World,0.17,384,56,0.045
Old World,0.17,486,63,0.045
Old World,0.17,,,0.045
Old World,0.18,784,38,0.045
Old World,0.18,300,48,0.045
Old World,0.18,432,57,0.045
Old World,0.18,588,67,0.045
Old World,0.18,,,0.045
Old World,0.2,180,36,0.045
Old World,0.2,245,42,0.045
Old World,0.2,320,48,0.045
Old World,0.2,605,66,0.045
Old World,0.2,,,0.045
Old World,0.22,224,39,0.045
Old World,0.22,350,49,0.045
Old World,0.22,504,59,0.045
Old World,0.22,686,68,0.045
Old World,0.22,,,0.045
Old World,0.24,264,41,0.045
Old World,0.24,415,52,0.045
Old World,0.24,506,57,0.045
Old World,0.24,650,65,0.045
Old World,0.24,,,0.045
Old World,0.25,256,40,0.045
Old World,0.25,400,50,0.045
Old World,0.25,576,60,0.045
Old World,0.25,784,70,0.045
Old World,0.25,,,0.045
Old World,0.27,240,38,0.045
Old World,0.27,375,48,0.045
Old World,0.27,540,57,0.045
Old World,0.27,840,71,0.045
Old World,0.27,,,0.045
Old World,0.28,255,39,0.045
Old World,0.28,429,50,0.045
Old World,0.28,574,58,0.045
Old World,0.28,767,67,0.045
Old World,0.28,,,0.045
Old World,0.29,123,27,0.045
Old World,0.29,218,36,0.045
Old World,0.29,492,53,0.045
Old World,0.29,872,71,0.045
Old World,0.29,,,0.045
Old World,0.3,143,29,0.045
Old World,0.3,304,42,0.045
Old World,0.3,684,62,0.045
Old World,0.3,864,70,0.045
Old World,0.3,,,0.045
Old World,0.31,320,42,0.045
Old World,0.31,500,53,0.045
Old World,0.31,720,63,0.045
Old World,0.31,980,74,0.045
Old World,0.31,,,0.045
Old World,0.32,310,41,0.045
Old World,0.32,520,53,0.045
Old World,0.32,744,64,0.045
Old World,0.32,976,73,0.045
Old World,0.32,,,0.045
Old World,0.33,300,40,0.045
Old World,0.33,432,48,0.045
Old World,0.33,768,64,0.045
Old World,0.33,972,72,0.045
Old World,0.33,,,0.045
Old World,0.34,352,43,0.045
Old World,0.34,550,54,0.045
Old World,0.34,792,65,0.045
Old World,0.34,1078,75,0.045
Old World,0.34,,,0.045
Old World,0.35,184,31,0.045
Old World,0.35,414,47,0.045
Old World,0.35,736,62,0.045
Old World,0.35,1150,78,0.045
Old World,0.35,,,0.045
Old World,0.36,280,38,0.045
Old World,0.36,402,36,0.045
Old World,0.36,630,57,0.045
Old World,0.36,1120,76,0.045
Old World,0.36,,,0.045
Old World,0.37,330,41,0.045
Old World,0.37,532,52,0.045
Old World,0.37,743,62,0.045
Old World,0.37,1197,78,0.045
Old World,0.37,,,0.045
Old World,0.38,384,44,0.045
Old World,0.38,600,55,0.045
Old World,0.38,864,66,0.045
Old World,0.38,1176,77,0.045
Old World,0.38,,,0.045
Old World,0.39,284,38,0.045
Old World,0.39,620,56,0.045
Old World,0.39,788,63,0.045
Old World,0.39,1134,75,0.045
Old World,0.39,,,0.045
Old World,0.4,308,39,0.045
Old World,0.4,570,53,0.045
Old World,0.4,870,66,0.045
Old World,0.4,1232,78,0.045
Old World,0.4,,,0.045
Old World,0.41,156,28,0.045
Old World,0.41,351,41,0.045
Old World,0.41,624,55,0.045
Old World,0.41,905,66,0.045
Old World,0.41,1288,79,0.045
Old World,0.41,,,0.045
Old World,0.42,116,24,0.045
Old World,0.42,462,47,0.045
Old World,0.42,680,57,0.045
Old World,0.42,940,67,0.045
Old World,0.42,1330,80,0.045
Old World,0.42,,,0.045
Old World,0.43,189,30,0.045
Old World,0.43,336,40,0.045
Old World,0.43,653,56,0.045
Old World,0.43,984,69,0.045
Old World,0.43,1344,80,0.045
Old World,0.43,,,0.045
Old World,0.44,144,26,0.045
Old World,0.44,510,49,0.045
Old World,0.44,710,58,0.045
Old World,0.44,900,65,0.045
Old World,0.44,1296,78,0.045
Old World,0.44,,,0.045
Old World,0.45,180,29,0.045
Old World,0.45,434,45,0.045
Old World,0.45,720,58,0.045
Old World,0.45,911,65,0.045
Old World,0.45,1508,84,0.045
Old World,0.45,,,0.045
Old World,0.46,213,31,0.045
Old World,0.46,544,50,0.045
Old World,0.46,689,56,0.045
Old World,0.46,1029,69,0.045
Old World,0.46,1437,81,0.045
Old World,0.46,,,0.045
Old World,0.47,153,27,0.045
Old World,0.47,476,47,0.045
Old World,0.47,684,56,0.045
Old World,0.47,956,66,0.045
Old World,0.47,1377,80,0.045
Old World,0.47,,,0.045
Old World,0.48,190,30,0.045
Old World,0.48,488,47,0.045
Old World,0.48,760,59,0.045
Old World,0.48,1001,68,0.045
Old World,0.48,1484,83,0.045
Old World,0.48,,,0.045
Old World,0.49,205,31,0.045
Old World,0.49,458,46,0.045
Old World,0.49,741,58,0.045
Old World,0.49,1128,72,0.045
Old World,0.49,1485,82,0.045
Old World,0.49,,,0.045
Old World,0.5,200,30,0.045
Old World,0.5,512,48,0.045
Old World,0.5,800,60,0.045
Old World,0.5,1152,72,0.045
Old World,0.5,1568,84,0.045
Old World,0.5,,,0.045
Old World,0.51,160,27,0.045
Old World,0.51,570,51,0.045
Old World,0.51,1116,71,0.045
Old World,0.51,1146,69,0.045
Old World,0.51,1660,86,0.045
Old World,0.51,,,0.045
Old World,0.52,226,32,0.045
Old World,0.52,603,52,0.045
Old World,0.52,860,62,0.045
Old World,0.52,1236,74,0.045
Old World,0.52,1680,86,0.045
Old World,0.52,,,0.045
Old World,0.54,223,31,0.045
Old World,0.54,629,53,0.045
Old World,0.54,870,62,0.045
Old World,0.54,1199,73,0.045
Old World,0.54,1708,87,0.045
Old World,0.54,,,0.045
Old World,0.55,180,28,0.045
Old World,0.55,585,51,0.045
Old World,0.55,798,59,0.045
Old World,0.55,1222,73,0.045
Old World,0.55,1736,87,0.045
Old World,0.55,,,0.045
Old World,0.56,180,28,0.045
Old World,0.56,568,50,0.045
Old World,0.56,798,59,0.045
Old World,0.56,1173,72,0.045
Old World,0.56,1736,87,0.045
Old World,0.56,,,0.045
Old World,0.57,189,29,0.045
Old World,0.57,525,48,0.045
Old World,0.57,756,57,0.045
Old World,0.57,1344,76,0.045
Old World,0.57,1701,86,0.045
Old World,0.57,,,0.045
Old World,0.58,189,29,0.045
Old World,0.58,635,52,0.045
Old World,0.58,887,62,0.045
Old World,0.58,1344,76,0.045
Old World,0.58,1895,90,0.045
Old World,0.58,,,0.045
Old World,0.59,204,30,0.045
Old World,0.59,608,51,0.045
Old World,0.59,814,59,0.045
Old World,0.59,1316,75,0.045
Old World,0.59,2001,93,0.045
Old World,0.59,,,0.045
Old World,0.6,240,32,0.045
Old World,0.6,540,48,0.045
Old World,0.6,960,64,0.045
Old World,0.6,1215,72,0.045
Old World,0.6,1815,88,0.045
Old World,0.6,,,0.045
Old World,0.61,198,29,0.045
Old World,0.61,660,53,0.045
Old World,0.61,833,60,0.045
Old World,0.61,1288,93,0.045
Old World,0.61,2013,119,0.045
Old World,0.61,,,0.045
Old World,0.63,228,31,0.045
Old World,0.63,698,55,0.045
Old World,0.63,912,62,0.045
Old World,0.63,1455,79,0.045
Old World,0.63,2052,93,0.045
Old World,0.63,,,0.045
Old World,0.64,308,36,0.045
Old World,0.64,693,54,0.045
Old World,0.64,1020,66,0.045
Old World,0.64,1410,77,0.045
Old World,0.64,1925,90,0.045
Old World,0.64,,,0.045
Old World,0.65,187,28,0.045
Old World,0.65,1008,69,0.045
Old World,0.65,748,56,0.045
Old World,0.65,985,64,0.045
Old World,0.65,2175,96,0.045
Old World,0.65,,,0.045
Old World,0.66,187,28,0.045
Old World,0.66,620,51,0.045
Old World,0.66,931,63,0.045
Old World,0.66,1488,79,0.045
Old World,0.66,1899,89,0.045
Old World,0.66,,,0.045
Old World,0.67,294,35,0.045
Old World,0.67,600,50,0.045
Old World,0.67,864,60,0.045
Old World,0.67,1536,80,0.045
Old World,0.67,1944,90,0.045
Old World,0.67,,,0.045
Old World,0.68,196,29,0.045
Old World,0.68,715,55,0.045
Old World,0.68,1080,67,0.045
Old World,0.68,1426,77,0.045
Old World,0.68,2195,96,0.045
Old World,0.68,,,0.045
Old World,0.69,326,37,0.045
Old World,0.69,704,54,0.045
Old World,0.69,1053,66,0.045
Old World,0.69,1584,81,0.045
Old World,0.69,2320,98,0.045
Old World,0.69,,,0.045
Old World,0.7,315,36,0.045
Old World,0.7,560,48,0.045
Old World,0.7,1026,65,0.045
Old World,0.7,1526,79,0.045
Old World,0.7,2240,96,0.045
Old World,0.7,,,0.045
Old World,0.71,140,24,0.045
Old World,0.71,560,48,0.045
Old World,0.71,875,60,0.045
Old World,0.71,1260,72,0.045
Old World,0.71,2240,96,0.045
Old World,0.71,,,0.045
Old World,0.72,234,31,0.045
Old World,0.72,527,47,0.045
Old World,0.72,833,59,0.045
Old World,0.72,1463,78,0.045
Old World,0.72,2106,93,0.045
Old World,,,,0.045
Old World,0.73,266,33,0.045
Old World,0.73,660,52,0.045
Old World,0.73,1064,66,0.045
Old World,0.73,1663,83,0.045
Old World,0.73,2394,99,0.045
Old World,0.73,,,0.045
Old World,0.74,304,35,0.045
Old World,0.74,713,54,0.045
Old World,0.74,1131,68,0.045
Old World,0.74,1564,80,0.045
Old World,0.74,2494,101,0.045
Old World,0.74,,,0.045
Old World,0.75,192,28,0.045
Old World,0.75,768,56,0.045
Old World,0.75,1200,70,0.045
Old World,0.75,1728,84,0.045
Old World,0.75,2352,98,0.045
Old World,0.75,,,0.045
Old World,0.76,336,37,0.045
Old World,0.76,884,60,0.045
Old World,0.76,1102,67,0.045
Old World,0.76,1692,83,0.045
Old World,0.76,2310,97,0.045
Old World,0.76,,,0.045
Old World,0.77,293,35,0.045
Old World,0.77,813,58,0.045
Old World,0.77,1170,69,0.045
Old World,0.77,1593,81,0.045
Old World,0.77,2241,96,0.045
Old World,0.77,,,0.045
Old World,0.78,370,39,0.045
Old World,0.78,800,57,0.045
Old World,0.78,1190,70,0.045
Old World,0.78,1656,82,0.045
Old World,0.78,2365,98,0.045
Old World,0.78,,,0.045
Old World,0.79,154,25,0.045
Old World,0.79,616,50,0.045
Old World,0.79,1225,71,0.045
Old World,0.79,1739,84,0.045
Old World,0.79,2464,100,0.045
Old World,0.79,,,0.045
Old World,0.8,320,36,0.045
Old World,0.8,320,54,0.045
Old World,0.8,720,72,0.045
Old World,0.8,1280,81,0.045
Old World,0.8,1620,99,0.045
Old World,0.8,,,0.045
Old World,0.81,325,36,0.045
Old World,0.81,832,58,0.045
Old World,0.81,1300,73,0.045
Old World,0.81,1872,87,0.045
Old World,0.81,2548,102,0.045
Old World,0.81,,,0.045
Old World,0.82,330,37,0.045
Old World,0.82,848,59,0.045
Old World,0.82,1320,73,0.045
Old World,0.82,1748,84,0.045
Old World,0.82,2590,102,0.045
Old World,0.82,,,0.045
Old World,0.83,270,33,0.045
Old World,0.83,750,55,0.045
Old World,0.83,1080,66,0.045
Old World,0.83,1920,88,0.045
Old World,0.83,2430,99,0.045
Old World,0.83,,,0.045
Old World,0.84,304,35,0.045
Old World,0.84,525,46,0.045
Old World,0.84,1216,70,0.045
Old World,0.84,1628,81,0.045
Old World,0.84,2193,94,0.045
Old World,0.84,,,0.045
Old World,0.85,383,39,0.045
Old World,0.85,924,61,0.045
Old World,0.85,1639,81,0.045
Old World,0.85,2206,94,0.045
Old World,0.85,,,0.045
Old World,0.86,296,35,0.045
Old World,0.86,495,45,0.045
Old World,0.86,1184,69,0.045
Old World,0.86,1672,82,0.045
Old World,0.86,2340,97,0.045
Old World,0.86,,,0.045
Old World,0.88,255,32,0.045
Old World,0.88,550,47,0.045
Old World,0.88,1238,71,0.045
Old World,0.88,1554,79,0.045
Old World,0.88,2379,98,0.045
Old World,0.88,3497,119,0.045
Old World,0.91,248,32,0.045
Old World,0.91,440,42,0.045
Old World,0.91,990,63,0.045
Old World,0.91,1311,73,0.045
Old World,0.91,1760,84,0.045
Old World,0.91,,,0.045
Old World,1,144,24,0.045
Old World,1,256,32,0.045
Old World,1,400,40,0.045
Old World,1,900,60,0.045
Old World,1,1296,72,0.045
Old World,1,1296,80,0.045
Old World,1,,,0.045
